0,-4,-7,-6,8,5,-56,-14,-5
0.02,0,-2,-2,5,1,-3,3,1
0.04,0,-2,-2,5,1,-3,3,1
0.06,-1,1,-2,-12,-6,19,5,-1
0.08,0,2,5,-6,0,18,12,1
0.09999999,-1,-3,-2,-7,-4,-14,3,-2
0.12,-2,2,1,-1,-3,-27,-9,-2
0.14,-2,-5,-7,13,3,-7,-3,-3
0.16,-2,0,-6,-1,-5,-30,7,3
0.18,-2,0,-6,-1,-5,-30,7,3
0.2,2,5,9,-15,-9,18,7,1
0.22,0,1,3,0,2,-16,-2,-1
0.24,-4,-2,-1,16,1,-2,0,-1
0.26,0,-2,-4,-26,-11,3,-2,-1
0.28,1,3,-1,31,11,-14,-8,0
0.3,-3,-4,-8,4,16,-4,4,-4
0.32,-3,0,-3,-4,-9,4,0,1
0.34,-3,0,-3,-4,-9,4,0,1
0.36,-2,-6,-5,9,3,9,5,-1
0.38,-2,-4,-7,-8,-4,13,6,-1
0.4,2,-2,2,-2,9,-7,-11,0
0.42,3,3,6,2,-5,-10,2,1
0.44,1,-2,-8,-5,-3,9,-2,-1
0.46,-2,-6,-9,6,-20,-33,-11,-4
0.48,-3,-1,-7,25,33,-2,-9,-3
0.5,0,0,8,4,-5,1,2,1
0.52,-4,-4,-2,-14,-5,-3,7,1
0.54,-3,2,0,-35,-18,0,-1,-1
0.56,-3,2,0,-35,-18,0,-1,-1
0.58,-3,-4,-2,-6,-1,15,-3,1
0.6,2,-7,3,-5,-11,11,-4,0
0.62,0,5,-3,14,5,-2,-1,-3
0.64,-4,-3,-7,-8,9,13,-7,-2
0.66,3,3,6,5,12,3,-7,3
0.68,-1,0,-1,10,3,16,0,-1
0.7,2,6,9,-5,-13,22,-3,3
0.72,-1,-3,-8,-19,-9,10,-2,-2
0.74,-1,1,1,7,15,26,10,-3
0.76,-1,1,1,7,15,26,10,-3
0.78,3,0,1,-2,-7,-10,-1,1
0.8,-1,-1,1,27,11,-31,-10,-3
0.82,-1,-1,1,27,11,-31,-10,-3
0.84,-2,-4,-5,-16,-10,-45,-7,-3
0.86,-2,-2,-4,-7,-5,22,16,2
0.88,0,-3,0,-2,5,-2,-14,-2
0.9,-3,-2,-3,5,-4,-16,-6,-5
0.92,-3,-2,-3,5,-4,-16,-6,-5
0.94,-1,-4,-4,-14,-9,0,1,-2
0.96,0,-3,-5,-10,-6,13,-8,-1
0.98,1,3,0,-9,8,10,8,3
1,1,3,0,-9,8,10,8,3
1.02,-2,-3,-5,-8,-5,-10,4,0
1.04,-1,-1,-2,8,11,18,-1,-2
1.06,-4,-3,1,5,1,-3,14,-2
1.08,3,3,6,17,3,-21,-8,-1
1.1,1,4,6,-2,-6,-16,-3,1
1.12,-2,-4,-5,-4,-2,-17,-6,-3
1.14,-3,-6,-11,-4,-6,-24,12,-4
1.16,0,1,0,-2,-13,-14,-23,-2
1.18,0,2,3,-4,7,31,2,0
1.2,-2,-4,-1,0,-1,2,3,2
1.22,-2,-4,-1,0,-1,2,3,2
1.24,2,1,3,-1,-5,4,-5,-1
1.26,-4,-4,-7,0,4,9,7,0
1.28,-3,-4,-6,-3,-6,-40,6,-5
1.3,1,-2,-2,0,4,3,-1,-1
1.32,-2,-2,1,1,-3,-72,-22,-6
1.34,-2,-2,1,1,-3,-72,-22,-6
1.36,1,1,5,-24,-10,18,7,3
1.38,1,2,4,0,-1,32,10,2
1.4,1,2,4,0,-1,32,10,2
