0,-1,-2,-2,-4,-3,-4,-2,0
0.02,-4,2,-1,10,-7,-21,-2,-3
0.04,-1,2,-3,-10,-8,-93,-14,-2
0.06,-1,-1,-3,3,8,11,3,1
0.08,-1,-1,-4,7,-3,25,-10,-2
0.09999999,-1,-1,-7,2,11,14,4,-1
0.12,0,-3,-5,-52,-14,1,1,2
0.14,-1,-3,-6,60,9,1,-3,-2
0.16,1,4,13,-6,-7,8,4,1
0.18,-1,-3,-13,22,15,-6,-1,-2
0.2,-3,-6,-4,4,0,13,-1,1
0.22,-1,-1,3,20,7,-9,0,-2
0.24,-2,0,6,-23,5,6,4,1
0.26,1,4,22,-48,-20,-4,1,-2
0.28,-2,1,3,18,-7,15,-5,-2
0.3,6,-1,-3,-55,-38,-9,0,3
0.32,-3,-8,-25,69,13,28,-2,1
0.34,4,2,8,-19,-7,-12,7,0
0.36,-6,-3,-11,38,14,9,-1,-4
0.38,2,0,1,-24,-12,5,0,0
0.4,2,-1,4,2,-9,-14,-4,-3
0.42,-3,-6,-13,17,25,19,6,0
0.44,-4,-4,-9,-12,-5,-22,-5,-3
0.46,-4,-4,-9,-12,-5,-22,-5,-3
0.48,-1,2,0,-21,-13,1,-1,-2
0.5,-1,4,9,1,20,-23,-1,1
0.52,-1,-4,-14,-20,8,8,-1,0
0.54,-5,-6,-6,3,-17,-10,0,-3
0.56,1,-1,2,26,12,1,-4,1
0.58,0,-2,-4,15,-4,2,-6,-3
0.6,-2,-4,-3,5,-6,-5,1,-4
0.62,0,1,2,5,2,-2,3,1
0.64,1,2,9,-13,-9,-5,1,0
0.66,1,2,9,-13,-9,-5,1,0
0.68,-4,3,10,-22,-10,4,-3,1
0.7,1,-2,4,8,4,15,-4,0
0.72,3,-4,-8,-27,-5,-5,-4,2
0.74,-3,-5,-8,15,12,-2,7,-2
0.76,-4,-3,-13,28,5,-6,-8,-6
0.78,2,0,-1,-35,-5,37,-1,-1
0.8,-1,1,11,2,1,-22,4,0
0.82,-3,1,12,-47,-18,-14,-3,-1
0.84,2,-1,1,2,8,0,12,-3
0.86,0,0,-3,4,9,-1,4,-3
0.88,-1,-2,-8,9,3,1,1,2
0.9,0,-1,3,12,1,0,-2,-3
0.92,1,3,1,-30,3,10,5,1
0.94,0,-1,-5,8,0,13,-4,-1
0.96,-2,0,0,11,-2,8,0,3
0.98,4,-2,-4,-6,-6,-11,16,-1
1,-1,-1,1,7,7,8,-1,3
1.02,-1,-1,1,7,7,8,-1,3
1.04,1,-2,1,-6,-16,9,-5,-1
1.06,1,-2,1,-6,-16,9,-5,-1
1.08,-1,1,-2,7,-5,-4,-2,-2
1.1,1,-7,-9,-17,-1,-15,10,1
1.12,-3,0,4,-3,-3,11,-7,-4
1.14,-2,1,4,0,-19,-11,0,-1
1.16,-1,-1,-7,9,5,9,0,0
1.18,-3,0,4,-13,7,18,-8,0
1.2,2,1,4,25,17,-3,-8,-1
1.22,-3,-1,-9,-5,-8,-6,0,0
1.24,-6,-3,0,2,-4,-14,-1,-1
1.26,3,-3,-5,-3,-1,-40,1,0
1.28,0,3,10,-5,-4,7,-7,-5
1.3,0,-3,4,8,-4,3,-3,3
1.32,-2,-3,-4,-12,-3,4,-5,-5
1.34,-1,0,-1,4,-1,32,2,1
1.36,-2,-1,5,9,9,2,1,2
1.38,2,-4,-9,-8,-1,-4,-9,-4
1.4,5,4,2,15,-1,-5,-5,0
1.42,-1,0,4,0,6,-10,-3,-2
1.44,-4,1,-3,-3,-7,-2,3,-1
1.46,-1,-5,-4,4,9,7,3,1
1.48,-1,-3,-5,37,2,2,11,-2
1.5,0,1,2,-17,-5,-4,-7,-3
1.52,2,6,6,11,9,10,4,-3
1.54,-3,-3,-3,-24,-4,-11,-1,-2
1.56,-1,-1,-1,20,2,-12,-6,0
1.58,-3,4,3,-8,2,7,-5,-1
1.6,-2,2,-1,-1,-4,-2,-1,0
1.62,-2,-3,-3,-5,-11,-12,-5,-1
1.64,2,-1,4,6,5,28,2,1
1.66,-4,3,1,42,-3,-13,-3,1
1.68,-4,3,1,42,-3,-13,-3,1
1.7,0,2,0,-3,2,0,0,0
1.72,1,7,-1,2,-5,2,2,3
1.74,1,-3,-4,-37,-3,14,3,1
1.76,-5,-3,-4,-23,2,1,1,-3
1.78,-9,1,2,5,-4,-6,-8,-2
1.8,-2,-5,-10,-6,6,-3,-4,0
1.82,0,-3,-1,9,1,-3,2,-1
1.84,3,-1,8,-16,-6,-2,5,-2
1.86,4,-2,-4,-4,0,-8,-3,1
1.88,4,-2,-4,-4,0,-8,-3,1
1.9,-1,-5,-1,10,-5,-7,-5,-5
1.92,2,-1,-5,-13,2,-3,-3,2
1.94,0,-3,-1,2,-5,1,-1,16
1.96,-3,2,-4,8,4,-4,-5,-4
1.98,2,2,5,17,1,2,-1,-8
2,3,-1,-4,-7,4,-5,-2,-7
2.02,-3,0,-2,-16,-12,-6,1,0
2.04,1,-4,-4,14,10,4,3,-3
2.06,-2,1,4,6,-1,-3,6,2
2.08,4,2,1,-28,-13,0,2,1
2.1,1,2,4,3,-6,14,1,-4
2.12,-3,-1,-2,17,16,5,-3,-1
2.14,-4,-5,-8,-22,1,0,1,0
2.16,0,-2,-5,-35,-13,-5,-1,-3
2.18,-1,-1,-2,1,-3,-24,-4,0
2.2,-3,-2,-2,4,-2,31,3,0
2.22,6,0,-2,-5,4,17,1,-2
2.24,-4,-3,2,8,0,-3,-2,-1
2.26,-4,1,1,17,-2,-15,-1,-1
2.28,2,0,6,-40,-5,8,0,2
2.3,0,0,5,7,6,-3,6,3
2.32,-3,0,3,-29,-14,-4,-8,-2
2.34,-1,-4,-2,20,-3,-8,-5,-5
