0,-1,-2,2,2,-1,12,1,1
0.02,-4,-5,-8,5,-2,8,-1,-4
0.04,0,1,8,-14,-8,-6,-3,-1
0.06,0,1,8,-14,-8,-6,-3,-1
0.08,0,1,0,-1,-1,-13,-1,1
0.09999999,0,5,3,-11,-1,3,-3,1
0.12,-1,-3,4,-13,-6,9,-1,-6
0.14,0,-1,1,-3,-5,-10,-4,0
0.16,-2,-3,0,-7,-2,-5,1,-4
0.18,0,-3,1,10,-8,-20,1,-1
0.2,1,2,6,1,6,4,-3,-1
0.22,-2,-4,-3,-7,-1,-4,-3,-1
0.24,-2,0,2,4,-20,-28,-3,-3
0.26,-6,-1,-3,-7,-3,-11,6,-1
0.28,0,0,-1,-2,7,57,2,-2
0.3,-3,-1,0,-7,0,17,-3,-3
0.32,4,-1,-4,-3,-10,-20,-5,3
0.34,-2,-2,-2,2,-1,23,0,1
0.36,-2,-2,0,-10,6,26,3,0
0.38,2,-5,-9,-7,0,-18,1,13
0.4,1,-1,0,3,-7,115,-2,-7
0.42,1,-1,0,3,-7,115,-2,-7
0.44,2,3,5,7,-1,-22,2,-2
0.46,-3,-1,-3,0,7,-30,6,-5
0.48,-3,-1,-3,0,7,-30,6,-5
0.5,-3,-3,-9,0,-38,-83,-5,-4
0.52,0,0,-1,10,8,-6,-3,-2
0.54,0,0,-1,10,8,-6,-3,-2
0.56,4,1,4,5,2,-23,9,2
0.58,-6,-2,3,10,33,127,14,1
0.6,2,-1,-1,38,-6,35,-1,11
0.62,-1,-3,-2,79,-8,-55,-2,-3
0.64,3,3,0,-30,-12,-30,-2,5
0.66,-1,1,0,-22,29,11,7,-2
0.68,0,-4,4,14,2,-88,5,13
0.7,1,-6,-4,-2,33,43,3,5
0.72,1,-3,-3,-53,-1,25,-6,3
0.74,5,6,5,36,21,39,7,5
0.76,-1,1,2,-17,-35,-32,1,-2
0.78,-1,1,2,-17,-35,-32,1,-2
0.8,2,-2,-7,-1,13,21,0,0
0.82,-4,1,1,25,-1,77,4,-2
0.84,-2,-3,-6,-2,4,16,-5,-3
0.86,-5,-6,-3,-21,-10,-10,-18,-6
0.88,1,1,0,-9,12,-22,6,-2
0.9,-2,-6,-6,-19,-50,-53,-9,-2
0.92,-2,-6,-6,-19,-50,-53,-9,-2
0.94,-1,-2,-3,-21,-43,30,-2,-4
0.96,-1,-2,-3,-21,-43,30,-2,-4
0.98,2,2,3,17,-12,-62,-2,6
1,-1,3,2,0,33,-11,1,-5
1.02,1,-1,-1,43,-2,-11,6,-1
1.04,2,2,-2,-4,0,-25,19,7
1.06,-3,-4,-3,-25,-31,-44,-15,-8
1.08,-3,-4,-3,-25,-31,-44,-15,-8
1.1,-1,4,7,-3,4,-3,-5,-3
1.12,-3,-1,-3,23,-7,58,4,-5
1.14,0,0,-3,-22,-1,-58,-9,-5
1.16,1,-4,-4,-28,-1,-43,-13,-2
1.18,-2,-4,-4,-17,-20,-16,-17,-4
1.2,-2,-2,0,3,-7,0,4,-2
1.22,-2,-2,0,3,-7,0,4,-2
1.24,-1,0,3,-1,24,9,-3,-1
1.26,-2,-2,-2,-8,-15,-50,-10,-4
1.28,-2,-2,-4,2,-12,34,-9,-3
1.3,-2,-2,-3,11,-22,-14,-6,-1
1.32,1,0,0,-8,-6,-40,-5,0
1.34,-3,0,-1,8,-12,-42,-1,-1
1.36,-3,0,-1,8,-12,-42,-1,-1
1.38,0,0,0,4,24,33,2,1
1.4,-1,0,-1,27,0,-8,4,-1
1.42,0,-1,0,16,-13,-62,-3,4
1.44,3,-3,1,-8,-1,-16,0,1
1.46,0,1,1,-5,22,-1,15,5
1.48,-4,-5,-4,-4,-5,-7,-3,-4
1.5,-5,-3,-1,-6,-27,7,-17,-4
1.52,-1,-1,-2,-1,2,18,-2,-3
1.54,-2,-3,-2,-10,-19,9,-3,-3
1.56,1,3,1,10,11,42,3,-1
1.58,1,3,1,10,11,42,3,-1
1.6,1,-3,2,18,-29,-40,-10,0
1.62,-3,-1,-1,-18,10,-3,-1,-2
1.64,3,0,3,-1,-4,45,7,6
1.66,-3,-4,-7,3,-10,-26,-3,-6
1.68,0,1,-1,3,5,12,7,3
1.7,0,-1,0,0,44,63,-3,0
1.72,0,-3,-1,13,-14,-6,7,-2
1.74,2,0,-2,-13,-22,-40,-3,0
1.76,2,0,-2,-13,-22,-40,-3,0
1.78,2,0,0,-8,-2,-21,-6,-2
1.8,-3,-4,-2,-2,-50,-77,-3,-1
1.82,-1,-1,1,17,35,43,4,-1
1.84,-5,-1,1,2,21,30,-3,-3
1.86,-7,-3,-5,1,1,74,-3,-5
1.88,-7,-3,-5,1,1,74,-3,-5
1.9,1,5,8,23,15,24,10,-1
1.92,-2,3,2,7,-19,-22,3,3
1.94,-2,3,2,7,-19,-22,3,3
1.96,1,6,-2,8,-4,-38,-2,2
1.98,0,-2,-3,-2,5,10,-10,-6
2,-2,-4,-3,-3,-10,-23,-5,-1
2.02,0,-3,-2,-4,-3,19,7,4
2.04,0,0,1,-5,12,-5,-1,-2
2.06,-1,-2,-4,-14,-11,-10,4,-1
2.08,-2,-4,0,38,-5,18,-5,0
2.1,0,3,2,3,27,-24,-7,-3
2.12,-2,0,-1,4,6,-16,-4,-4
2.14,-2,-1,2,-13,-2,-7,0,-4
2.16,0,-1,-4,-20,-19,-54,-13,-4
2.18,0,-1,-4,-20,-19,-54,-13,-4
2.2,0,-4,-3,-5,-12,33,-5,-2
2.22,-2,-2,-2,0,4,-2,-2,-1
2.24,0,1,0,5,26,16,11,3
2.26,-3,1,-1,10,-17,49,4,-5
2.28,2,2,-1,3,7,-20,-8,-1
2.3,0,-1,0,-2,-11,-29,-7,0
2.32,1,-1,-4,-20,-16,13,-3,1
2.34,0,-1,-2,7,3,-42,4,1
2.36,-1,-1,0,5,-7,0,3,2
