0,-3,-11,-12,-10,1,7,-2,-9
0.02,0,-1,-5,-14,-5,3,-3,2
0.04,1,2,-15,-13,-4,-10,1,11
0.06,1,2,-15,-13,-4,-10,1,11
0.08,-2,-3,-11,1,5,-5,1,1
0.09999999,-2,-5,0,10,-7,-30,-15,-18
0.12,-2,-5,0,10,-7,-30,-15,-18
0.14,0,2,6,3,-8,11,2,8
0.16,0,-7,-4,3,10,-4,-3,3
0.18,-9,-6,-3,-1,-32,-5,-17,-23
0.2,0,-8,14,16,17,9,1,-1
0.22,-6,2,7,-2,-42,-38,-30,-36
0.24,-1,10,-5,-16,19,-4,3,-15
0.26,-7,0,-27,-35,57,-7,-9,-37
0.28,-2,4,4,5,34,-40,-4,-5
0.3,0,2,1,1,-63,-9,-2,1
0.32,1,2,11,25,59,15,2,-31
0.34,-6,-2,5,1,-44,5,0,-19
0.36,-5,-8,-3,12,60,-5,-8,-10
0.38,2,-2,-3,-9,-30,9,-2,10
0.4,-4,0,-8,-1,-66,-19,-12,-5
0.42,4,1,-7,-24,-100,12,4,7
0.44,1,-1,0,8,-33,-8,0,6
0.46,-2,0,7,3,94,6,1,-5
0.48,-1,0,7,7,19,10,-2,2
0.5,-1,0,7,7,19,10,-2,2
0.52,-1,0,7,7,19,10,-2,2
0.54,-1,0,7,7,19,10,-2,2
0.56,-1,0,7,7,19,10,-2,2
0.58,-2,-2,-3,-20,37,-16,2,-12
0.6,-2,-2,-3,-20,37,-16,2,-12
0.62,-3,-2,-4,3,3,3,-5,2
0.64,-2,-3,2,-1,5,17,1,2
0.66,-6,-3,-3,-2,-63,4,-7,-14
0.68,-3,-1,-9,-9,-47,-2,-1,4
0.7,-1,-5,0,18,20,0,0,-10
0.72,-1,-5,0,18,20,0,0,-10
0.74,-1,-1,0,-11,-52,0,-5,1
0.76,-4,-5,0,0,97,8,-6,-7
0.78,-2,1,-2,7,34,3,-3,-12
0.8,-4,1,5,12,40,1,4,-1
0.82,-1,2,1,-2,25,-10,2,-8
0.84,0,-3,1,-4,-11,3,0,2
0.86,-3,-2,-2,-2,-9,5,-5,0
0.88,4,-2,-4,-8,-16,-9,-2,-1
