0,4,3,-7,-16,0,-1,2,2
0.02,1,0,10,7,-1,-2,-2,16
0.04,-1,-3,0,14,-5,9,-2,-6
0.06,5,4,0,-8,-2,-1,1,-5
0.08,-4,-3,-2,22,1,-6,0,4
0.09999999,0,-3,-7,-9,-1,-1,-2,-1
0.12,0,-3,-7,-9,-1,-1,-2,-1
0.14,-3,-1,0,-5,-2,1,0,3
0.16,-4,0,6,-7,-9,-8,-3,-7
0.18,-2,-6,-8,-7,5,-2,-2,-4
0.2,-5,3,0,-8,15,-5,0,-3
0.22,-2,-4,-11,-7,-20,5,-8,-12
0.24,1,-6,0,1,31,4,4,7
0.26,3,4,7,24,1,15,2,6
0.28,-2,-3,-1,-8,-14,-8,-2,-4
0.3,-1,-4,4,-4,-3,-6,-1,-1
0.32,-2,-1,0,5,-10,5,-3,4
0.34,4,7,-4,-11,-58,-17,7,38
0.36,-5,-1,-2,2,14,-8,-5,-8
0.38,-3,-4,1,9,53,9,-1,-5
0.4,3,1,-4,0,-50,0,15,33
0.42,3,1,-4,0,-50,0,15,33
0.44,-4,2,4,4,8,1,-9,-29
0.46,-4,2,4,4,8,1,-9,-29
0.48,-4,2,4,4,8,1,-9,-29
0.5,-4,2,4,4,8,1,-9,-29
0.52,-1,-1,3,2,15,15,-1,-6
0.54,-1,4,0,-2,16,-3,-3,-9
0.56,1,-7,17,23,-56,10,7,-18
0.58,-5,-4,-5,-1,17,-5,-4,3
0.6,1,4,2,6,20,8,7,10
0.62,-3,-4,0,9,36,1,-1,-3
0.64,-2,-1,-3,-6,46,-3,0,-3
0.66,1,-1,-2,-11,-33,-8,-2,4
0.68,1,-1,-2,-11,-33,-8,-2,4
0.7,-9,-14,-8,-18,5,-22,-10,-28
0.72,3,2,6,6,-9,3,1,3
0.74,3,2,6,6,-9,3,1,3
0.76,0,1,-3,-10,12,-23,-1,9
0.78,9,12,5,11,-56,9,16,31
0.8,-4,-8,6,8,7,5,-5,-7
0.82,2,6,-9,-13,-9,-17,-4,5
0.84,-4,-6,-8,-10,-2,6,-1,-3
0.86,-1,-2,2,4,32,8,-1,-6
0.88,2,-2,2,-5,51,-10,6,12
0.9,3,-8,-6,-5,-53,-23,2,-5
0.92,-3,6,-8,-21,11,11,-5,-3
0.94,3,7,3,10,13,20,0,-5
0.96,3,7,3,10,13,20,0,-5
0.98,-1,1,5,5,19,10,-1,0
1,0,-5,-6,-4,-22,6,1,-1
1.02,-4,-2,5,8,0,3,1,-1
1.04,0,-1,3,3,-3,2,-1,-11
1.06,-2,10,-4,-2,19,-10,0,-7
1.08,-2,10,-4,-2,19,-10,0,-7
1.1,-1,0,1,-5,29,-12,-4,-12
1.12,-1,0,1,-5,29,-12,-4,-12
1.14,4,4,-6,-2,-16,-16,0,6
1.16,-5,-7,0,-6,5,-4,-3,-11
1.18,1,-4,-3,4,6,-16,-2,19
1.2,-3,-4,7,0,20,2,-1,3
1.22,-3,-4,7,0,20,2,-1,3
1.24,0,-3,-1,-6,-24,-8,-2,4
1.26,-1,-9,11,22,-54,-1,0,-1
1.28,1,-2,-4,21,-15,3,-1,6
1.3,-2,1,-5,-17,-35,2,-3,-1
