0,0.002605432,-0.0005331518,0.01159472,0.9684036,0.7698418,0.9604943,0.0337806,-0.1676189,3.549371,-5.80772,-189.8817,-0.7131815,-0.23,-0.05,-2.14,2.01,-0.1934754,-0.06922377,-3,-6,-3,-13,0,34,-10,0
0.02,0.002605432,-0.0005331518,0.01159472,0.9684036,0.7698418,0.9604943,0.02935548,-0.2201948,-0.2212563,-2.628795,-188.5313,158.9462,-0.53,0.25,-0.73,0.79,-0.4920797,0.2228703,-3,-6,-3,-13,0,34,-10,0
0.04,0.469901,1.368609,0.01539684,0.01920989,-2.69282,-0.359013,-0.04792234,-0.1793207,-3.863891,2.043705,-182.1317,233.625,-0.47,0.25,-0.43,0.06,-0.4879507,0.2745304,0,-1,0,-4,-4,2,-1,3
0.06,0.4699113,1.36843,-0.03845957,0.01202963,-6.397362,-3.618346,-0.1359522,-0.09415169,-4.401494,4.25845,-26.88013,110.7372,0.24,-0.09,-1.77,1.1,0.1919271,-0.07876387,8,8,0,-15,9,-11,-18,-3
0.08,0.4685241,1.368027,-0.1664068,-0.06033729,3.052905,-2.541581,-0.158547,-0.01587362,-1.129738,3.913904,163.5878,-17.22732,-0.03,0.33,-3.17,2.38,0.008988873,0.295237,-2,0,-3,13,7,15,29,2
0.09999999,0.464631,1.366654,-0.1053487,-0.1111689,4.010233,6.1432,-0.1575139,0.07207036,0.05165562,4.397199,59.06969,24.16477,-0.64,0.52,-0.79,0.43,-0.5808148,0.4966342,-4,-7,-9,2,-10,-7,1,3
0.12,0.46189,1.364437,-0.02514403,0.0116951,5.085717,6.13051,-0.2110145,0.1747691,-2.675034,5.13494,-136.3345,36.88703,-0.63,0.25,0.31,-1.22,-0.648164,0.2884067,-2,-4,-5,-5,-10,3,-10,-3
0.14,0.4606465,1.364278,0.07657031,0.1343053,6.341691,-1.62343,-0.2900433,0.2331361,-3.951436,2.918345,-63.8201,-110.8297,-0.07,-0.22,-1.59,0.73,-0.1096505,-0.2040245,-5,-9,-3,6,8,-3,1,4
0.16,0.4617585,1.366386,0.2034041,0.1018367,-1.353058,-0.6571245,-0.3249857,0.2116934,-1.747121,-1.072134,110.2158,-199.524,-0.24,-0.03,-3.17,2.08,-0.2076287,-0.03487753,1,5,2,9,24,5,-15,0
0.18,0.4659798,1.368169,0.1763429,0.08869421,-1.615305,-0.2297679,-0.3332829,0.1475591,-0.4148617,-3.206716,66.61296,-106.7291,-0.57,-0.07,-0.92,0.79,-0.5823725,-0.04108666,5,-3,-1,15,2,18,-7,-1
0.2,0.4699639,1.369886,0.1440369,0.08409885,-2.399673,-0.1282468,-0.351977,0.06895847,-0.9347022,-3.93003,-25.99202,-36.16569,-0.26,-0.34,-0.12,0.12,-0.2775326,-0.3128018,1,4,-5,-2,-6,-12,6,-1
0.22,0.4734046,1.371436,0.09604341,0.08153391,-3.360957,0.1005484,-0.323765,-0.04104476,1.410598,-5.500162,117.265,-78.5066,0.6,-0.58,-1.53,2.08,0.5403781,-0.6040552,-4,1,1,0,-1,8,21,0
0.24,0.4761081,1.373276,0.02882428,0.08354488,-4.706298,-0.2446973,-0.1826256,-0.1658156,7.056971,-6.238541,282.3187,-36.91895,0.66,-0.15,-1.71,2.87,0.6604294,-0.175179,10,-3,-8,-20,-3,40,13,-2
0.26,0.4775734,1.375973,-0.06530168,0.07865094,-6.232026,-1.97091,0.02361415,-0.2419411,10.31199,-3.806277,162.7508,121.6132,0.33,-0.04,-1.04,1.83,0.3742328,-0.02883935,11,2,2,0,12,-8,14,0
0.28,0.4768146,1.379035,-0.1899422,0.03923274,1.245344,-4.493108,0.177979,-0.2459071,7.718242,-0.1982994,-129.6872,180.3989,-0.21,-0.02,-1.22,1.22,-0.1669954,-0.00930182,10,-5,1,-14,-20,-25,-11,1
0.3,0.4730446,1.380937,-0.1650353,-0.05062943,1.196823,-6.380946,0.1931969,-0.1921048,0.7608943,2.690113,-347.8674,144.4206,-0.65,0.28,-1.59,0.85,-0.6441346,0.2723686,6,-1,4,-25,13,18,-2,4
0.32,0.4693486,1.380037,-0.1410989,-0.1782483,1.854835,1.841519,0.08796751,-0.08753122,-5.261468,5.228681,-301.1181,126.9284,-0.17,0.4,-1.65,1.4,-0.2152448,0.3894022,6,2,0,2,-2,21,-7,6
0.34,0.4657571,1.375706,-0.1040022,-0.141418,3.133896,3.128477,-0.04521616,0.04644035,-6.659184,6.698578,-69.88578,73.49487,-0.37,0.39,-0.43,1.46,-0.3386781,0.3879445,-3,-10,-2,0,-2,-24,-15,-4
0.36,0.4626969,1.371904,-0.04132425,-0.07884841,4.772268,4.75743,-0.1757275,0.1705666,-6.525568,6.206311,6.680799,-24.61336,-0.7,0.25,0.06,1.16,-0.6974868,0.2828828,1,0,-3,-12,-1,23,7,1
0.38,0.4609694,1.369372,0.0541211,0.01630018,6.290295,6.353322,-0.305306,0.2474315,-6.478927,3.843246,2.332067,-118.1533,-0.33,0.05,-2.44,2.01,-0.38675,0.071446,3,-8,-2,14,9,-12,-10,-1
0.4,0.4614983,1.368749,0.179927,0.1433666,-1.178223,-0.470506,-0.3625544,0.265123,-2.862416,0.8845761,180.8255,-147.9335,0.43,0.14,-2.14,1.59,0.3902285,0.1279925,3,-8,-2,14,9,-12,-10,-1
0.42,0.4649705,1.371199,0.1563625,0.1339565,-0.9618527,0.229689,-0.3059418,0.2403167,2.830629,-1.240317,284.6523,-106.2446,-0.04,0,-0.12,-0.37,-0.006407575,0.006724247,8,-8,-2,-5,16,9,-4,-1
0.44,0.4682742,1.37429,0.1371255,0.1385503,-1.265238,-0.462668,-0.196713,0.1857723,5.46144,-2.72722,131.5405,-74.34515,0.16,-0.13,-0.55,0.61,0.1630257,-0.09807266,-10,-3,-1,-4,-13,-13,-5,-1
0.46,0.471406,1.377854,0.1118207,0.1292969,-1.932323,-1.798476,-0.09191559,0.1141744,5.239871,-3.579892,-11.07845,-42.63364,-0.04,-0.01,-1.22,1.04,0.0007087862,-0.03801838,3,-5,-4,8,18,12,-15,0
0.48,0.4741566,1.3812,0.07317428,0.0933274,-2.807967,-3.080151,-0.02117229,0.05834509,3.537165,-2.791468,-85.13527,39.42124,-0.11,0.18,-0.31,0.31,-0.1158495,0.1838997,-6,3,-3,1,-9,57,4,2
0.5,0.4760236,1.38358,0.01701494,0.03172439,-3.490757,-3.945292,0.01090417,0.0395069,1.603823,-0.9419093,-96.66711,92.47792,0.12,0.08,0.31,0.18,0.08742698,0.09044179,-12,-9,-1,-5,20,26,-11,6
0.52,0.4765006,1.384448,-0.0528002,-0.04718146,-3.721147,-4.337667,0.05251671,0.03252162,2.080627,-0.3492638,23.84023,29.63227,0.56,-0.16,-0.24,0.92,0.5446803,-0.1573413,2,2,1,-4,-8,-35,1,4
0.54,0.4754954,1.383806,-0.1272231,-0.1339348,4.602045,3.562038,0.1257731,0.01766567,3.66282,-0.7427976,79.10965,-19.67669,0.17,0.13,0.37,0.92,0.1776274,0.1067647,8,1,2,7,7,-16,-12,0
0.56,0.4730593,1.381659,-0.03518225,-0.06269405,4.420359,2.666115,0.1631567,0.01409389,1.869181,-0.1785893,-89.68198,28.21041,-0.39,0.08,0.73,0.31,-0.3674652,0.0954285,-2,-9,-2,-32,5,33,6,-1
0.58,0.4723817,1.380676,0.05322494,-0.009371746,4.376677,2.208912,0.1318108,0.01836491,-1.567294,0.2135513,-171.8238,19.60703,0.16,-0.11,-1.16,0.67,0.1318973,-0.1105842,-2,4,5,-5,19,14,43,4
0.6,0.4734149,1.380261,0.1407585,0.03480649,-3.979711,2.592274,0.09866482,0.01433744,-1.657301,-0.2013736,-4.500336,-20.74624,0.26,0.09,-0.85,0.79,0.2465865,0.06636248,11,0,1,0,-25,-57,7,-9
