0.02,-0.9805293,2.300623,-0.07797673,0.07461154,3.500021,-3.500021,0,0,0,0,0,0
0.04,-0.9820889,2.302117,-0.007976313,0.004611131,3.500021,-3.500021,0,0,0,0,0,0
0.06,-0.9822484,2.302209,0.0620241,-0.06538928,3.500021,-3.500021,0,0,0,0,0,0
0.08,-0.9810079,2.3009,0.1320245,-0.1353897,-3.500021,3.500021,0,0,0,0,0,0
0.09999999,-0.9783674,2.298192,0.0620241,-0.06538929,-3.500021,3.500021,0.0001072884,-7.510185E-05,0.005456203,-0.003527065,0.2728102,-0.1763533
0.12,-0.9771263,2.296884,-0.007976315,0.004611123,-3.500938,3.49871,0.0003218651,-0.0002145767,0.01091241,-0.00705413,0.2728102,-0.1763533
0.14,-0.9772848,2.296977,-0.07799508,0.07458532,3.497399,-3.503953,0.000654459,-0.0004291534,0.01636861,-0.0105812,0.2728102,-0.1763533
0.16,-0.9788431,2.298471,-0.008047099,0.004506256,3.494778,-3.508017,0.001094341,-0.0007081031,0.02182481,-0.01410826,0.2728102,-0.1763533
0.18,-0.9790019,2.298564,0.06184845,-0.06565408,3.49137,-3.513391,0.001641512,-0.001062155,0.02728102,-0.01763532,0.2728102,-0.1763533
0.2,-0.9777622,2.297257,0.1316759,-0.1359219,-3.512998,3.479966,0.002285242,-0.001233816,0.03243729,-0.00875913,0.2578137,0.4438097
0.22,-0.9751274,2.294544,0.0614159,-0.06632258,-3.515095,3.472101,0.003036261,-0.001233816,0.03759357,0.000117065,0.2578137,0.4438097
0.24,-0.9738991,2.293222,-0.00888599,0.003119443,-3.515095,3.462926,0.003894567,-0.001051426,0.04274984,0.00899326,0.2578137,0.4438097
0.26,-0.9740782,2.29329,-0.07918788,0.07237796,3.487175,-3.547602,0.004849434,-0.0006973742,0.04790612,0.01786945,0.2578137,0.4438097
0.28,-0.9756647,2.294744,-0.009444382,0.001425916,3.491501,-3.559268,0.005911589,-0.0001609325,0.05306239,0.02674565,0.2578137,0.4438097
0.3,-0.9758577,2.294782,0.06038563,-0.06975945,3.498055,-3.572245,0.007102489,0.0005471707,0.05944461,0.03557071,0.319111,0.4412534
0.32,-0.9746554,2.293398,0.1303467,-0.1412043,-3.493336,3.413247,0.008422136,0.001437664,0.06582683,0.04439578,0.319111,0.4412534
0.34,-0.9720554,2.290583,0.06048,-0.0729394,-3.482456,3.397124,0.009870529,0.002499819,0.07220905,0.05322085,0.319111,0.4412534
